#id;name;population;longitude;latitude
500011;Nitra;77048;18.0876009939656;48.3013474420999
500020;Alekšince;1663;17.9575534728386;48.3558115172745
500046;Báb;1117;17.8787156422637;48.2999259785107
500062;Beladice;1636;18.2916596544799;48.3395890824057
500071;Branč;2233;18.1470176349398;48.2140622893536
500101;Čakajovce;1165;18.0413311518376;48.3737040839336
500127;Čaradice;506;18.5069549230688;48.3706566767851
500135;Čeľadice;993;18.2465968089425;48.3179419749937
500151;Čierne Kľačany;1129;18.4498203982596;48.3568860105766
500160;Čifáre;607;18.40528686894;48.2427294810856
500194;Dolné Obdokovce;1169;18.2179519700235;48.306811143152
500232;Golianovo;1743;18.2088354199649;48.2682971304908
500241;Hájske;1306;17.874668061794;48.2580238139091
500267;Záhorie (vojenský obvod);157;17.1650658557114;48.4882823225607
500283;Hostie;1232;18.4507578754027;48.4781105258046
500305;Hosťovce;759;18.3472920260467;48.4426339142751
500313;Hruboňovo;519;18.0275816704927;48.4467834743317
500321;Choča;510;18.3267858261629;48.355316525954
500348;Zubák;837;18.1877968214318;49.1517652399551
500356;Jarok;2018;17.9627901976977;48.2718136612653
500364;Jedľové Kostoľany;908;18.506164972569;48.4788426359663
500372;Jelenec;2103;18.2193942980198;48.3920615866146
500381;Jelšovce;1022;18.0636566137346;48.3855075633236
500399;Kapince;187;17.9745654735744;48.450731308348
500402;Klasov;1372;18.2596482969541;48.2682035916362
500411;Kolíňany;1582;18.2211675178388;48.3530228550937
500429;Kostoľany pod Tribečom;331;18.2346903192703;48.4309235231758
500437;Ladice;738;18.2729421104751;48.3924429811805
500453;Lehota;2217;17.9918380883051;48.3143582812411
500461;Lovce;670;18.3578463132929;48.4627828092452
500470;Lúčnica nad Žitavou;914;18.2747529730418;48.2124991072471
500488;Lukáčovce;1164;17.9367706951882;48.3962558464878
500500;Machulince;1108;18.4516206291956;48.4128485317047
500518;Veľké Chyndice;314;18.2889237100417;48.2861073419104
500534;Malé Zálužie;265;17.9854047980323;48.4361761866289
500542;Mankovce;537;18.330254518805;48.4219052078346
500551;Martin nad Žitavou;522;18.3566585474707;48.3945200039764
500569;Melek;459;18.3334632963603;48.2027428604521
500577;Mojmírovce;2888;18.0659651568022;48.2015559789913
500585;Nemčiňany;691;18.451323066158;48.3024321007034
500593;Neverice;701;18.2799929002869;48.3653204659351
500607;Nevidzany;579;18.3801650308275;48.2832957186875
500631;Nová Ves nad Žitavou;1357;18.3253867559385;48.2857671790639
500640;Nové Sady;1289;17.9640206098363;48.4211665840596
500658;Obyce;1505;18.4926687288621;48.4311688049896
500666;Paňa;360;18.2379449814997;48.2326097105678
500674;Podhorany;1089;18.1197804312534;48.3729314463489
500682;Pohranice;1071;18.1774397676988;48.3297151006004
500691;Poľný Kesov;660;18.0507783478625;48.1623122335858
500704;Rišňovce;2075;17.9094035679774;48.3617621406472
500712;Rumanová;824;17.8736725306764;48.3377645027744
500721;Skýcov;964;18.4465224188998;48.5150424496469
500739;Močenok;4305;17.9403672206957;48.2129391552474
500747;Sľažany;1707;18.3264539943522;48.3859623508282
500755;Slepčany;808;18.3340493180081;48.3078113171562
500780;Šurianky;598;18.0290896505267;48.4134074021164
500798;Tajná;278;18.3690287670696;48.2623946144879
500810;Tesárske Mlyňany;1766;18.3615333515874;48.3424536472375
500828;Topoľčianky;2613;18.4007045168933;48.4501562373652
500836;Velčice;844;18.282268304298;48.4443361982293
500844;Veľká Dolina;663;18.0148960833371;48.1791419035942
500887;Veľké Zálužie;4208;17.9403602393933;48.3124315704988
500895;Veľký Cetín;1582;18.1985353369083;48.2257778269433
500909;Vieska nad Žitavou;456;18.356635773375;48.3185106298656
500917;Vinodol;1972;18.2160212052407;48.1903215091229
500925;Volkovce;1009;18.4680567922281;48.3417287442379
500933;Vráble;8656;18.3129369691619;48.2431137516709
500941;Výčapy-Opatovce;2214;18.0760791020295;48.4155843211144
500950;Zbehy;2242;18.0017357489828;48.3667015009269
500968;Zlaté Moravce;11583;18.3997859532766;48.3761088239147
500976;Zlatno;216;18.3128735477567;48.4668530925651
500984;Žikava;519;18.3824754903426;48.4549872811656
500992;Žirany;1361;18.1777324236057;48.3795143755253
501018;Žitavce;380;18.3165576207611;48.1914435677848
501026;Komárno;34160;18.1032928725772;47.7857927502763
501034;Bajč;1234;18.2282915286221;47.9293930528435
501042;Bodza;392;17.85379587087;47.8485169623861
501069;Brestovec;498;17.8368643829501;47.8764438008552
501077;Búč;1128;18.4707934741022;47.8035650711267
501085;Čalovec;1177;17.9685350800346;47.8363821669517
501093;Číčov;1271;17.7595989908758;47.7836221401392
501107;Dedina Mládeže;459;17.9913681854311;47.9532145020879
501115;Svätý Peter;2788;18.2334287129102;47.8351586881521
501123;Dulovce;1727;18.2690286502775;47.8735618843073
501140;Hurbanovo;7469;18.1914641546092;47.8677965800132
501158;Chotín;1395;18.2293705708581;47.8107789047529
501166;Imeľ;1949;18.1347149746636;47.8964398482188
501174;Iža;1651;18.2311412016709;47.7646847828453
501182;Kameničná;1915;18.0082818722452;47.8429848554686
501191;Klížska Nemá;490;17.8352699588144;47.7564009818547
501204;Kolárovo;10546;17.9669404603541;47.924551574155
501212;Kravany nad Dunajom;717;18.4841811747402;47.7739484135321
501221;Lipové;140;17.8725130441445;47.8461638452073
501239;Marcelová;3731;18.2904425860172;47.7920074210411
501247;Martovce;687;18.1109043365114;47.8644469267973
501255;Moča;1122;18.410002036442;47.7733612201789
501263;Modrany;1361;18.3566108887745;47.8174825635219
501271;Mudroňovo;123;18.3235508374639;47.830348106133
501280;Nesvady;5094;18.1063392919583;47.9275415280948
501301;Okoličná na Ostrove;1491;17.9249905704895;47.8161203421939
501310;Patince;451;18.293526015337;47.7443172003458
501328;Pribeta;2813;18.3155865475884;47.900965708107
501336;Radvaň nad Dunajom;697;18.357307211175;47.7602925149169
501344;Sokolce;1202;17.8639520111802;47.8776447112186
501352;Šrobárová;507;18.3235562091368;47.8056130704813
501361;Tôň;746;17.8290724603337;47.8034821783483
501379;Trávnik;695;17.7957037740389;47.767953926658
501387;Veľké Kosihy;963;17.8844913353492;47.7676777549685
501395;Bátorove Kosihy;3316;18.4056859296507;47.8400014534354
501409;Vrbová nad Váhom;525;18.0608718704045;47.8543918134805
